NAME,TIMESTAMP,PATH,MILISECONDS_REQ,MILISECONDS_DELTA
lighthouse,2022-03-17 08:35:44.249083,http://localhost:5052/eth/v2/beacon/blocks/1754371,59.107,62.28
lighthouse,2022-03-17 08:35:44.249110,http://localhost:5052/eth/v2/beacon/blocks/1873554,57.701,59.091
lighthouse,2022-03-17 08:35:44.249115,http://localhost:5052/eth/v2/beacon/blocks/2512673,54.592,56.043
lighthouse,2022-03-17 08:35:44.249119,http://localhost:5052/eth/v2/beacon/blocks/660004,33.786,35.067
lighthouse,2022-03-17 08:35:44.249123,http://localhost:5052/eth/v2/beacon/blocks/182474,99.197,104.633
lighthouse,2022-03-17 08:35:44.249127,http://localhost:5052/eth/v2/beacon/blocks/176487,136.608,137.954
lighthouse,2022-03-17 08:35:44.249130,http://localhost:5052/eth/v2/beacon/blocks/2844890,71.061,72.39
lighthouse,2022-03-17 08:35:44.249134,http://localhost:5052/eth/v2/beacon/blocks/1838022,31.199,32.569
lighthouse,2022-03-17 08:35:44.249137,http://localhost:5052/eth/v2/beacon/blocks/1206793,88.5,89.979
lighthouse,2022-03-17 08:35:44.249141,http://localhost:5052/eth/v2/beacon/blocks/1149371,118.407,119.729
lighthouse,2022-03-17 08:35:44.249144,http://localhost:5052/eth/v2/beacon/blocks/3382523,39.637,40.989
lighthouse,2022-03-17 08:35:44.249148,http://localhost:5052/eth/v2/beacon/blocks/875074,110.59,111.85
lighthouse,2022-03-17 08:35:44.249151,http://localhost:5052/eth/v2/beacon/blocks/694821,104.151,105.501
lighthouse,2022-03-17 08:35:44.249154,http://localhost:5052/eth/v2/beacon/blocks/1634580,29.614,32.736
lighthouse,2022-03-17 08:35:44.249158,http://localhost:5052/eth/v2/beacon/blocks/2626206,90.483,91.814
lighthouse,2022-03-17 08:35:44.249162,http://localhost:5052/eth/v2/beacon/blocks/1453340,13.765,14.908
lighthouse,2022-03-17 08:35:44.249165,http://localhost:5052/eth/v2/beacon/blocks/2462852,91.197,92.753
lighthouse,2022-03-17 08:35:44.249169,http://localhost:5052/eth/v2/beacon/blocks/279753,104.023,105.399
lighthouse,2022-03-17 08:35:44.249172,http://localhost:5052/eth/v2/beacon/blocks/1345246,64.708,66.045
lighthouse,2022-03-17 08:35:44.249175,http://localhost:5052/eth/v2/beacon/blocks/1825907,10.515,11.84
lighthouse,2022-03-17 08:35:44.249179,http://localhost:5052/eth/v2/beacon/blocks/517658,98.995,100.158
lighthouse,2022-03-17 08:35:44.249182,http://localhost:5052/eth/v2/beacon/blocks/908895,46.866,48.119
lighthouse,2022-03-17 08:35:44.249186,http://localhost:5052/eth/v2/beacon/blocks/3300866,105.49,106.843
lighthouse,2022-03-17 08:35:44.249189,http://localhost:5052/eth/v2/beacon/blocks/1565003,36.415,37.674
lighthouse,2022-03-17 08:35:44.249193,http://localhost:5052/eth/v2/beacon/blocks/2537421,74.873,76.208
lighthouse,2022-03-17 08:35:44.249196,http://localhost:5052/eth/v2/beacon/blocks/874131,41.162,42.397
lighthouse,2022-03-17 08:35:44.249200,http://localhost:5052/eth/v2/beacon/blocks/2635658,207.5,208.775
lighthouse,2022-03-17 08:35:44.249203,http://localhost:5052/eth/v2/beacon/blocks/2037218,76.212,77.603
lighthouse,2022-03-17 08:35:44.249206,http://localhost:5052/eth/v2/beacon/blocks/72491,83.203,84.419
lighthouse,2022-03-17 08:35:44.249210,http://localhost:5052/eth/v2/beacon/blocks/340730,97.416,98.722
lighthouse,2022-03-17 08:35:44.249213,http://localhost:5052/eth/v2/beacon/blocks/2714825,265.098,266.392
lighthouse,2022-03-17 08:35:44.249217,http://localhost:5052/eth/v2/beacon/blocks/734264,82.209,83.467
lighthouse,2022-03-17 08:35:44.249224,http://localhost:5052/eth/v2/beacon/blocks/2602605,60.964,62.272
lighthouse,2022-03-17 08:35:44.249228,http://localhost:5052/eth/v2/beacon/blocks/1662848,86.723,88.062
lighthouse,2022-03-17 08:35:44.249232,http://localhost:5052/eth/v2/beacon/blocks/998525,91.64,92.95
lighthouse,2022-03-17 08:35:44.249235,http://localhost:5052/eth/v2/beacon/blocks/1909308,87.874,89.206
