PID,PID_NAME,TIME [month dd hh:mm:ss:ms],DISKUSAGE [MB],CPU[%],MEM[MB]1,systemd,September 16 09:18:28:731538,0.0,0.0,13.303808
2,kthreadd,September 16 09:18:28:731642,0.0,0.0,0.0
3,rcu_gp,September 16 09:18:28:731726,0.0,0.0,0.0
4,rcu_par_gp,September 16 09:18:28:731842,0.0,0.0,0.0
1,systemd,September 16 09:18:28:731951,0.0,0.0,13.303808
2,kthreadd,September 16 09:18:28:732183,0.0,0.0,0.0
3,rcu_gp,September 16 09:18:28:732310,0.0,0.0,0.0
4,rcu_par_gp,September 16 09:18:28:732440,0.0,0.0,0.0
1,systemd,September 16 09:18:28:732593,0.0,0.0,13.303808
2,kthreadd,September 16 09:18:28:732721,0.0,0.0,0.0
3,rcu_gp,September 16 09:18:28:732928,0.0,0.0,0.0
4,rcu_par_gp,September 16 09:18:28:733012,0.0,0.0,0.0
1,systemd,September 16 09:18:28:733098,0.0,0.0,13.303808
2,kthreadd,September 16 09:18:28:733176,0.0,0.0,0.0
3,rcu_gp,September 16 09:18:28:733259,0.0,0.0,0.0
4,rcu_par_gp,September 16 09:18:28:733457,0.0,0.0,0.0
1,systemd,September 16 09:18:28:733582,0.0,0.0,13.303808
2,kthreadd,September 16 09:18:28:733699,0.0,0.0,0.0
3,rcu_gp,September 16 09:18:28:733814,0.0,0.0,0.0
4,rcu_par_gp,September 16 09:18:28:733894,0.0,0.0,0.0
1,systemd,September 16 09:18:28:734078,0.0,0.0,13.303808
2,kthreadd,September 16 09:18:28:734195,0.0,0.0,0.0
3,rcu_gp,September 16 09:18:28:734280,0.0,0.0,0.0
4,rcu_par_gp,September 16 09:18:28:734400,0.0,0.0,0.0
1,systemd,September 16 09:18:28:734553,0.0,0.0,13.303808
2,kthreadd,September 16 09:18:28:734755,0.0,0.0,0.0
3,rcu_gp,September 16 09:18:28:734869,0.0,0.0,0.0
4,rcu_par_gp,September 16 09:18:28:734998,0.0,0.0,0.0
1,systemd,September 16 09:18:28:735142,0.0,0.0,13.303808
2,kthreadd,September 16 09:18:28:735273,0.0,0.0,0.0
3,rcu_gp,September 16 09:18:28:735472,0.0,0.0,0.0
4,rcu_par_gp,September 16 09:18:28:735590,0.0,0.0,0.0
1,systemd,September 16 09:18:28:735720,0.0,0.0,13.303808
2,kthreadd,September 16 09:18:28:735835,0.0,0.0,0.0
3,rcu_gp,September 16 09:18:28:735958,0.0,0.0,0.0
4,rcu_par_gp,September 16 09:18:28:736166,0.0,0.0,0.0
